locus,map_chr,map_prop,map_pos,gacu_chr,gacu_prop,gacu_pos,lcal_chr,lcal_prop,lcal_pos,trub_chr,trub_prop,trub_pos,tnig_chr,tnig_prop,tnig_pos,onil_chr,onil_prop,onil_pos,dlab_chr,dlab_prop,dlab_pos,
Contig_3776,18,0.086,7.31,8,0.299,5788025,17,0.863,23880819,20,0.997,13366204,,,,,,,4,0.137,3763316,
Contig_42431,24,0.463,38.81,19,0.836,16912838,10,0.494,13787142,,,,,,,7,0.800,40846789,6,0.348,9795316,
Contig_10005,15,0.585,49.29,5,0.889,10886053,23,0.403,7326549,,,,,,,,,,1B,0.290,5217765,
Contig_2541,14,0.116,10.03,10,0.076,1191132,,,,,,,8,0.920,9671517,,,,,,,
Contig_15712,3,0.264,24.32,,,,,,,,,,,,,,,,,,,
Contig_54161,8,0.952,87.75,,,,,,,,,,,,,,,,,,,
Contig_6721,10,0.554,49.74,,,,,,,,,,,,,,,,,,,
Soc443,18,0.928,78.78,,,,,,,,,,,,,,,,,,,
Contig_6646,22,0.089,7.26,14,0.828,12620699,9,0.237,5442958,,,,4,0.854,8437099,7,0.547,27919856,19,0.849,19695330,
Contig_2703,4,0.986,92.51,,,,,,,,,,,,,,,,,,,
Soc736,12,0.822,84.39,,,,2,0.024,722442,,,,,,,,,,,,,
Contig_15436,5,0.295,23.89,,,,,,,,,,,,,,,,13,0.448,12361460,
Contig_12431,16,0.043,4.35,15,0.818,13251315,19,0.220,5402888,2,0.173,1975076,10,0.121,1600629,19,0.491,13336237,12,0.218,5072356,
Soc645,14,0.774,66.86,10,0.502,7856202,3,0.487,11453981,12,0.235,2504617,21,0.326,1902255,22,0.484,12771658,9,0.609,13625809,
Contig_22353,23,0.981,72.67,,,,,,,,,,,,,,,,,,,
Contig_27576,3,0.757,69.79,,,,15,0.631,19409719,,,,,,,,,,3,0.557,7494518,
Contig_70432,2,0.950,79.88,,,,,,,8,0.466,6841722,,,,23,0.097,2016029,,,,
Contig_36884,3,0.456,42.02,,,,14,0.553,7781734,8,0.835,12270269,20,0.351,1334672,3,0.672,12993148,3,0.893,12012478,
Contig_15187,11,0.212,15.89,,,,,,,,,,,,,,,,,,,
Contig_48256,11,0.132,9.92,,,,,,,,,,,,,,,,,,,
Soc724,7,0.080,6.48,,,,24,0.213,4220352,,,,,,,,,,,,,
Soc1079,11,0.359,26.93,16,0.971,17581904,1,0.142,3656933,,,,,,,16,0.081,2816009,15,0.896,22901398,
Contig_16115,19,0.396,36.80,,,,13,0.043,1184709,,,,,,,12,0.792,27457944,20,0.618,17548268,
Contig_24776,4,0.844,79.18,,,,,,,,,,,,,,,,,,,
Contig_29474,10,0.466,41.82,17,0.377,5499023,12,0.940,26169593,19,0.619,8781124,11,0.286,3415431,5,0.914,34160176,1A,0.700,20318358,
Contig_83064,21,0.024,2.42,,,,,,,,,,,,,,,,,,,
Contig_105401,15,0.336,28.26,,,,23,0.318,5785828,,,,,,,8,0.981,28885113,1B,0.709,12754447,
Contig_33698,10,0.383,34.38,17,0.261,3814023,12,0.286,7956339,,,,,,,,,,1A,0.781,22683662,
Contig_105628,23,0.948,70.16,,,,,,,,,,,,,,,,,,,
Contig_43615,3,0.486,44.77,,,,,,,,,,,,,,,,,,,
Contig_11080,17,0.977,83.22,,,,,,,,,,,,,,,,,,,
Dla60,16,0.552,55.87,15,0.339,5493130,19,0.476,11686101,2,0.604,6888312,10,0.443,5877720,19,0.052,1424866,12,0.488,11342297,
Contig_44212,3,0.906,83.54,,,,,,,,,,,,,,,,,,,
Soc999,16,0.162,16.36,15,0.996,16132852,19,0.162,3984005,,,,,,,19,0.419,11375504,12,0.153,3551685,
Contig_16479,11,0.360,26.95,,,,,,,,,,,,,16,0.900,31410019,15,0.198,5072672,
Soc805,4,0.605,56.75,,,,,,,,,,,,,,,,,,,
Contig_19669,16,0.709,71.69,,,,19,0.636,15592918,,,,,,,19,0.190,5171390,12,0.655,15226669,
Contig_4899,24,0.582,48.76,,,,,,,,,,,,,,,,6,0.187,5281916,
Contig_11965,22,0.074,6.03,,,,,,,,,,,,,,,,,,,
Contig_15103,15,0.395,33.30,,,,,,,,,,,,,8,0.598,17616170,1B,0.553,9950711,
Contig_10277,13,0.396,32.63,,,,,,,,,,,,,,,,,,,
Soc651,14,0.116,10.03,,,,3,0.826,19406614,,,,,,,,,,9,0.977,21847474,
Contig_2077,6,0.641,58.57,,,,,,,,,,,,,,,,,,,
Contig_14389,3,0.871,80.35,,,,,,,,,,,,,,,,,,,
Contig_51370,8,0.045,4.15,4,0.244,7964072,8,0.704,18249993,14,0.766,9446712,,,,2,0.416,10419394,2,0.094,2457847,
Soc524,14,0.028,2.40,,,,,,,,,,,,,,,,,,,
Contig_7871,6,0.000,0,,,,,,,,,,,,,,,,,,,
Contig_15075,21,0.852,84.98,,,,,,,,,,,,,,,,22-25,0.064,1688755,
Contig_21739,8,0.884,81.47,,,,,,,,,,,,,,,,,,,
Contig_20536,21,0.043,4.31,,,,,,,,,,,,,,,,,,,
Contig_32696,2,0.375,31.54,,,,,,,,,,,,,,,,,,,
Contig_17347,18,0.086,7.31,,,,,,,,,,,,,,,,,,,
Contig_30639,10,0.840,75.40,,,,21,0.511,14668051,,,,,,,,,,,,,
Soc578,21,0.340,33.95,12,0.578,10639766,6,0.457,12774060,3,0.497,6503374,9,0.320,3378202,20,0.830,26109958,22-25,0.502,13273869,
Contig_41579,24,0.559,46.83,,,,10,0.470,13130234,,,,,,,7,0.786,40128312,6,0.372,10472911,
Contig_12384,24,0.317,26.60,,,,,,,,,,,,,,,,6,0.926,26103168,
Contig_59199,6,0.789,72.09,,,,7_2,0.763,10613885,,,,,,,,,,,,,
Soc687,21,0.574,57.29,12,0.047,871809,6,0.638,17814072,,,,9,0.618,6520186,20,0.418,13139516,22-25,0.319,8434155,
Contig_5987,23,0.129,9.52,4,0.744,24265151,18,0.882,16924163,,,,,,,,,,x,0.139,2463512,
Contig_616,15,0.822,69.18,,,,23,0.120,2174557,,,,,,,,,,1B,0.069,1240158,
Contig_7897,5,0.960,77.73,,,,,,,,,,,,,,,,,,,
Soc950,4,0.719,67.46,,,,11,0.685,15946586,,,,,,,,,,,,,
Contig_41568,21,0.510,50.90,,,,6,0.693,19347225,,,,,,,,,,22-25,0.265,7015385,
Soc699,14,0.591,51.08,,,,,,,,,,,,,,,,,,,
Contig_354,12,0.752,77.15,,,,,,,,,,,,,,,,22-25,0.907,23985426,
Lcr07,13,0.000,0,,,,4,0.045,1156671,,,,,,,,,,,,,
Soc968,20,0.000,0,,,,,,,,,,,,,,,,,,,
Contig_34398,1,0.216,20.33,9,0.482,9763486,5,0.495,14334702,,,,,,,6,0.446,16379787,7,0.640,18220447,
Soc978,23,0.907,67.17,,,,18,0.613,11773945,18,0.273,2202413,19,0.117,850043,17,0.483,15342623,x,0.885,15742129,
Soc1143,24,0.035,2.90,,,,10,0.813,22711331,,,,,,,7,0.135,6903148,6,0.884,24902153,
Contig_1373,17,0.056,4.77,,,,,,,,,,,,,,,,17,0.088,2018355,
Contig_9483,8,0.045,4.15,,,,8,0.831,21534239,,,,,,,2,0.250,6270152,2,0.895,23478032,
Contig_49160,20,0.013,1.14,,,,20,0.858,20379910,,,,,,,,,,14,0.599,17017484,
Contig_12764,1,0.000,0,9,0.873,17680889,5,0.592,17155884,17,0.983,10989671,18,0.426,4714770,6,0.546,20037603,7,0.541,15405892,
Contig_63272,11,0.913,68.42,,,,,,,,,,,,,,,,,,,
Contig_19050,20,0.682,61.06,,,,20,0.355,8442597,,,,,,,,,,14,0.316,8968815,
Soc814,6,0.278,25.41,,,,,,,,,,,,,,,,,,,
Contig_63403,13,0.967,79.65,,,,,,,,,,,,,,,,,,,
Contig_17750,15,0.336,28.26,,,,4,0.048,1235003,,,,,,,,,,,,,
Contig_63606,10,0.944,84.79,17,0.015,213641,12,0.026,734348,,,,,,,,,,1A,0.013,385590,
Contig_1200,1,0.071,6.70,,,,5,0.581,16836401,,,,,,,,,,7,0.551,15683749,
Contig_59127,18,0.743,63.02,,,,,,,,,,,,,,,,,,,
Contig_44415,4,0.071,6.64,,,,,,,,,,,,,,,,11,0.846,22172366,
Contig_150,13,0.967,79.65,3,0.247,4146613,4,0.826,21082743,22,0.557,6467187,,,,18,0.132,3467057,10,0.165,3964750,
Contig_2917,21,0.642,64.00,,,,,,,,,,,,,,,,10,0.331,7958265,
Contig_15944,21,0.953,95.00,,,,,,,,,,,,,,,,,,,
Contig_31364,10,0.823,73.90,,,,12,0.165,4602564,,,,,,,5,0.598,22363992,1A,0.901,26151483,
Contig_30176,7,0.513,41.43,,,,24,0.627,12426392,,,,,,,9,0.557,11680916,18-21,0.554,9121782,
Contig_25315,9,0.103,8.56,,,,19,0.252,6177839,,,,,,,,,,,,,
Contig_32905,7,0.699,56.46,21,0.880,10315299,24,0.828,16405648,10,0.750,6840719,6,0.854,6000359,9,0.748,15669952,18-21,0.745,12253881,
Contig_10411,1,0.319,29.96,,,,5,0.259,7498856,,,,,,,,,,7,0.802,22835875,
Soc571,21,0.809,80.67,,,,6,0.895,25005450,,,,,,,,,,22-25,0.031,828576,
Contig_2149,15,0.870,73.27,,,,23,0.144,2610969,,,,,,,,,,,,,
Contig_35126,13,0.998,82.23,,,,,,,,,,,,,,,,10,0.252,6070095,
Contig_1903,17,0.281,23.95,,,,,,,,,,,,,,,,,,,
Contig_31905,11,0.141,10.54,,,,,,,,,,,,,,,,,,,
Soc770,17,0.422,35.99,18,0.696,11335023,7_1,0.578,13454087,,,,14,0.602,6171815,15,0.714,19057462,17,0.418,9564680,
Contig_25610,6,0.891,81.38,,,,,,,,,,,,,,,,,,,
Contig_21372,10,0.129,11.59,,,,,,,,,,,,,,,,9,0.153,3410376,
Soc992,7,0.354,28.56,21,0.625,7324877,24,0.578,11451687,10,0.464,4230861,,,,9,0.498,10431393,18-21,0.494,8125789,
Contig_63165,4,0.391,36.70,11,0.557,9307537,11,0.418,9745525,,,,,,,,,,8,0.388,8953818,
Soc1134,14,0.945,81.60,10,0.222,3471097,3,0.691,16230487,12,0.799,8520512,,,,22,0.116,3063833,9,0.831,18586087,
Soc508,15,0.499,42.00,,,,,,,,,,,,,,,,,,,
Contig_66331,13,0.967,79.65,3,0.242,4065641,4,0.820,20953731,,,,,,,18,0.127,3323241,10,0.169,4073567,
Contig_8535,10,0.149,13.36,17,0.989,14445172,,,,,,,,,,,,,1A,0.279,8115031,
Contig_10874,21,0.674,67.26,12,0.777,14291928,6,0.818,22852833,,,,,,,20,0.229,7217883,22-25,0.130,3433273,
Contig_17623,12,0.335,34.34,,,,,,,,,,,,,,,,,,,
Contig_78680,20,0.180,16.13,,,,,,,,,,,,,,,,,,,
Contig_2419,13,0.374,30.78,,,,4,0.345,8809386,,,,,,,18,0.592,15499845,10,0.681,16387953,
Contig_24458,9,0.973,80.87,,,,16-22,0.916,23681977,,,,,,,13,0.295,9668333,,,,
Contig_32801,24,0.192,16.05,,,,,,,,,,,,,,,,,,,
Contig_28405,6,0.183,16.68,20,0.168,3310011,15,0.968,29803966,,,,,,,11,0.266,8882427,16,0.764,19728881,
Contig_17275,1,0.823,77.31,,,,,,,,,,,,,,,,7,0.211,6004398,
Dla43,7,0.089,7.22,21,0.231,2707910,24,0.029,571202,10,0.055,506026,,,,9,0.230,4810709,18-21,0.197,3233806,
Contig_14065,16,0.484,48.99,,,,19,0.377,9249170,,,,,,,19,0.740,20089029,12,0.383,8901824,
Contig_7348,23,0.685,50.74,,,,,,,,,,,,,,,,,,,
Contig_7509,15,0.582,49.01,5,0.945,11573358,23,0.361,6556522,1,0.313,7292028,2,0.302,6529260,8,0.342,10066812,1B,0.246,4428391,
Contig_13196,17,0.772,65.74,18,0.386,6277455,7_1,0.235,5466862,,,,,,,15,0.139,3713784,17,0.539,12332678,
Contig_359,24,0.616,51.59,,,,,,,,,,,,,,,,,,,
Contig_10413,14,0.953,82.27,,,,3,0.710,16694693,,,,,,,,,,,,,
Soc767,21,0.259,25.81,,,,,,,,,,,,,,,,,,,
Contig_55722,7,0.054,4.35,,,,,,,,,,,,,,,,,,,
Contig_26660,9,0.044,3.68,,,,,,,2,0.442,5039011,,,,,,,,,,
Contig_19199,15,0.102,8.59,,,,,,,,,,,,,,,,,,,
Contig_13111,8,0.045,4.15,,,,,,,,,,,,,,,,,,,
Contig_34611,20,0.003,0.31,7,0.711,19862254,20,0.868,20606856,,,,7,0.266,3112973,,,,14,0.608,17271775,
Soc843,10,0.096,8.61,,,,,,,,,,,,,,,,,,,
Contig_12705,8,0.869,80.11,,,,,,,,,,,,,,,,,,,
Contig_34093,6,0.877,80.05,,,,15,0.102,3149597,,,,,,,11,0.797,26672075,16,0.037,951145,
Soc540,10,0.951,85.42,,,,,,,,,,,,,,,,,,,
Soc718,12,0.606,62.25,2,0.674,15706749,2,0.785,23873803,13,0.410,6943773,5,0.169,2258583,1,0.618,19268634,5,0.242,7883239,
Contig_8325,21,0.809,80.67,12,0.727,13375670,6,0.894,24958157,,,,,,,,,,22-25,0.029,769126,
Contig_4067,20,0.895,80.16,,,,,,,,,,,,,,,,14,0.364,10329554,
Contig_20691,23,0.068,5.03,,,,,,,,,,,,,,,,,,,
Contig_28248,6,0.018,1.61,,,,2,0.606,18409256,,,,,,,,,,,,,
Contig_49135,4,0.966,90.68,,,,11,0.103,2406691,5,0.938,11428549,3,0.940,14558738,4,0.898,25768571,8,0.780,17998543,
Contig_6002,2,0.982,82.59,,,,,,,,,,,,,,,,24,0.172,2389939,
Dla89,17,0.718,61.16,18,0.367,5981982,7_1,0.221,5129380,,,,14,0.200,2048789,15,0.155,4123019,17,0.523,11975232,
Contig_11573,4,0.931,87.32,,,,,,,,,,,,,,,,,,,
Soc510,14,0.960,82.95,,,,,,,,,,,,,,,,,,,
Contig_101279,16,0.089,9.00,,,,,,,,,,,,,,,,,,,
Contig_5996,5,0.825,66.73,,,,,,,,,,,,,,,,15,0.633,16183950,
Contig_77726,17,0.374,31.88,,,,,,,,,,,,,,,,17,0.338,7728121,
Contig_101240,9,0.103,8.56,,,,,,,,,,,,,,,,,,,
Contig_43851,9,0.000,0,,,,,,,,,,,,,,,,,,,
Contig_1744,3,0.486,44.77,7,0.162,4514767,14,0.694,9764366,8,0.900,13219465,,,,,,,3,0.738,9924067,
Contig_11396,11,0.930,69.69,,,,,,,,,,,,,,,,,,,
Contig_9872,24,0.446,37.37,19,0.311,6299710,10,0.420,11740971,9,0.638,8877698,13,0.589,7838278,7,0.755,38562126,6,0.422,11906151,
Contig_38678,8,0.093,8.55,,,,,,,,,,,,,,,,,,,
Contig_6377,15,0.417,35.14,,,,,,,,,,,,,,,,1B,0.565,10176291,
Contig_18114,15,0.835,70.34,5,0.903,11062964,23,0.229,4153719,,,,,,,8,0.310,9118500,1B,0.182,3280978,
Contig_28773,21,0.037,3.69,,,,,,,,,,,,,,,,,,,
Contig_50114,8,0.767,70.70,,,,,,,,,,,,,,,,,,,
Contig_42579,22,0.618,50.29,,,,,,,,,,,,,,,,19,0.337,7809477,
Contig_22159,10,0.165,14.77,17,0.671,9799594,,,,,,,,,,5,0.293,10970893,,,,
Contig_27075,3,0.500,46.10,7,0.152,4255220,14,0.587,8265964,8,0.886,13015294,,,,3,0.571,11040686,3,0.769,10337401,
Contig_23817,16,0.228,23.02,,,,,,,,,,,,,,,,,,,
Contig_29550,17,0.048,4.07,,,,,,,,,,,,,,,,,,,
Contig_77645,18,0.817,69.31,,,,,,,,,,,,,,,,,,,
Contig_24314,17,0.788,67.14,18,0.459,7479017,7_1,0.301,6999228,16,0.801,8258957,14,0.467,4789588,15,0.071,1885191,17,0.610,13961482,
Soc1070,10,0.951,85.42,,,,,,,,,,,,,18,0.545,14285501,,,,
Contig_12049,6,0.287,26.24,20,0.429,8458823,15,0.757,23288900,,,,,,,11,0.005,156871,16,0.505,13028660,
Contig_56697,22,0.750,61.01,,,,,,,,,,,,,,,,13,0.632,17471093,
Contig_25269,8,0.767,70.70,4,0.859,28021784,8,0.142,3673815,,,,,,,,,,2,0.621,16294405,
Contig_41910,20,0.154,13.76,,,,20,0.789,18748441,,,,,,,,,,14,0.687,19494296,
Soc516,20,0.682,61.06,7,0.654,18279485,,,,15,0.837,9639070,7,0.478,5593209,10,0.522,8930650,14,0.463,13140066,
Contig_41724,17,0.892,76.02,,,,,,,,,,,,,,,,17,0.880,20153476,
Contig_55707,6,0.525,47.90,,,,,,,,,,20,0.137,522097,,,,,,,
Contig_18195,22,0.783,63.74,,,,,,,,,,,,,7,0.230,11755742,19,0.275,6372019,
Contig_578,5,0.369,29.86,,,,21,0.221,6336346,,,,,,,14,0.267,9128208,13,0.408,11283356,
Contig_1331,1,0.491,46.07,,,,,,,,,,,,,,,,,,,
Contig_6874,7,0.868,70.13,,,,24,0.878,17391286,10,0.849,7750425,6,0.996,6998456,9,0.899,18845006,18-21,0.881,14503985,
Contig_31227,8,0.753,69.43,4,0.506,16496913,8,0.170,4407807,,,,,,,,,,2,0.594,15569499,
Contig_7751,24,0.879,73.65,,,,,,,,,,,,,,,,6,0.793,22361781,
Contig_3194,24,0.548,45.95,,,,,,,,,,,,,,,,,,,
Contig_62598,10,0.603,54.11,,,,,,,,,,,,,,,,,,,
Contig_24591,4,0.344,32.27,11,0.518,8647074,11,0.387,9016344,,,,,,,,,,8,0.419,9664060,
Contig_93778,14,0.930,80.34,,,,,,,,,,,,,,,,9,0.648,14492990,
Contig_22497,11,0.446,33.40,,,,,,,,,,,,,,,,15,0.273,6986848,
Soc1094,10,0.157,14.07,,,,,,,,,,,,,,,,,,,
Contig_29035,4,0.157,14.75,,,,,,,,,,,,,,,,,,,
Soc834,12,0.968,99.34,,,,,,,,,,,,,,,,,,,
Contig_58509,2,0.475,39.94,,,,,,,,,,,,,,,,24,0.667,9279114,
Soc884,19,0.082,7.63,,,,,,,,,,,,,,,,,,,
Soc527,23,0.236,17.45,4,0.652,21290471,18,0.227,4358643,,,,19,0.837,6090335,17,0.914,29028450,x,0.352,6266522,
Contig_39333,8,0.801,73.87,,,,,,,,,,,,,,,,,,,
Contig_11145,15,0.117,9.84,,,,,,,,,,,,,,,,,,,
Contig_14179,22,0.114,9.29,,,,,,,,,,,,,,,,,,,
Contig_5448,18,0.868,73.65,8,0.416,8055498,17,0.743,20572203,20,0.844,11314385,1,0.884,20319081,17,0.154,4898527,4,0.252,6943746,
Contig_19179,24,0.655,54.88,,,,,,,,,,,,,,,,,,,
Contig_921,12,0.559,57.36,,,,2,0.697,21186847,,,,,,,,,,5,0.157,5130787,
Soc532,19,0.883,82.04,,,,13,0.598,16293697,,,,,,,12,0.263,9137562,20,0.064,1822283,
Soc1127,18,0.973,82.57,8,0.157,3050446,17,0.142,3931637,20,0.058,778089,,,,23,0.349,7248305,4,0.851,23471473,
Contig_8544,18,0.086,7.31,,,,,,,,,,,,,,,,,,,
Contig_45311,21,0.125,12.45,,,,,,,,,,,,,,,,22-25,0.703,18594043,
Contig_18157,9,0.821,68.27,,,,,,,,,,,,,2,0.922,23098330,,,,
Contig_19116,22,0.865,70.38,,,,,,,,,,,,,,,,,,,
Soc910,6,0.341,31.18,20,0.518,10228100,15,0.691,21270367,7,0.824,11787123,,,,11,0.166,5549960,16,0.426,10995325,
Contig_5439,22,0.019,1.57,,,,,,,,,,,,,,,,20,0.808,22940072,
Contig_27116,16,0.897,90.68,,,,,,,,,,,,,,,,12,0.953,22146269,
Contig_65842,23,0.141,10.46,4,0.778,25399795,18,0.806,15464265,,,,,,,17,0.176,5579348,x,0.234,4156015,
Contig_5970,21,0.246,24.51,,,,,,,,,,,,,,,,,,,
Soc927,11,1.000,74.93,,,,,,,,,,,,,,,,,,,
Contig_36739,8,0.884,81.47,,,,,,,,,,,,,,,,,,,
Soc663,4,0.414,38.81,,,,11,0.481,11202643,,,,,,,,,,8,0.322,7425032,
Contig_723,17,0.048,4.07,,,,,,,,,,,,,4,0.082,2352611,,,,
Contig_16330,5,0.984,79.65,,,,,,,,,,,,,,,,,,,
Contig_60333,23,0.981,72.67,,,,,,,,,,,,,,,,,,,
Contig_33887,14,0.319,27.51,,,,,,,,,,,,,,,,,,,
Contig_19602,10,0.447,40.13,,,,,,,,,,,,,,,,7,0.134,3803638,
Contig_681,8,0.320,29.49,,,,,,,,,,,,,,,,,,,
Contig_38885,24,0.520,43.61,19,0.634,12833793,10,0.457,12758926,,,,,,,,,,6,0.386,10884325,
Contig_31799,14,0.567,48.94,,,,,,,,,,,,,,,,9,0.394,8802629,
Soc563,9,0.111,9.19,,,,16-22,0.632,16338288,,,,,,,,,,11,0.701,18366191,
Soc633,3,0.757,69.79,,,,14,0.402,5660346,,,,,,,,,,3,0.422,5680357,
Contig_63011,23,0.375,27.77,,,,,,,,,,,,,,,,,,,
Contig_13310,7,0.514,41.49,,,,,,,,,,,,,,,,,,,
Contig_12128,16,0.864,87.42,,,,,,,,,,,,,,,,12,0.857,19908057,
Contig_35605,21,0.768,76.57,,,,6,0.877,24477303,,,,,,,,,,22-25,0.013,346413,
Contig_38832,21,0.768,76.55,,,,,,,,,,,,,,,,1A,0.448,13020011,
Contig_2711,13,0.227,18.69,,,,18,0.043,829254,,,,,,,,,,,,,
Contig_11762,16,0.060,6.08,,,,,,,,,,,,,,,,,,,
Contig_1471,3,0.295,27.18,,,,,,,,,,,,,,,,,,,
Contig_56266,21,0.059,5.90,,,,1,0.898,23093197,,,,,,,15,0.141,3771486,,,,
Contig_40800,24,0.922,77.23,,,,10,0.176,4916037,,,,,,,,,,6,0.673,18962233,
Contig_80132,3,0.295,27.18,,,,9,0.916,21053709,,,,,,,,,,,,,
Soc711,9,0.946,78.60,,,,16-22,0.946,24450863,4,0.564,7787182,17,0.684,8306302,13,0.264,8663704,,,,
Contig_12218,8,0.492,45.33,,,,8,0.345,8940574,,,,,,,2,0.840,21028720,2,0.413,10823581,
Contig_584,3,0.007,0.62,,,,9,0.921,21172043,,,,,,,,,,,,,
Contig_16635,23,0.102,7.52,,,,,,,,,,,,,,,,,,,
Contig_5913,9,0.806,66.99,6,0.103,1767527,16-22,0.034,870543,,,,,,,13,0.326,10676725,11,0.088,2304636,
Contig_15899,13,0.374,30.78,,,,,,,,,,6,0.777,5458488,,,,,,,
Contig_7525,1,0.491,46.07,,,,,,,,,,,,,,,,7,0.956,27232098,
Soc580,8,0.952,87.75,,,,,,,,,,,,,,,,,,,
Contig_102860,20,0.817,73.15,,,,,,,,,,,,,,,,,,,
Contig_36577,18,0.924,78.45,,,,,,,,,,,,,,,,,,,
Soc897,19,0.186,17.27,13,0.935,18769546,13,0.904,24634262,,,,,,,,,,20,0.684,19428384,
Contig_18736,22,0.098,8.00,,,,,,,,,,,,,,,,,,,
Soc908,1,0.509,47.83,,,,,,,,,,,,,,,,,,,
Contig_50499,6,0.613,55.97,,,,15,0.248,7624938,,,,,,,11,0.668,22356893,16,0.211,5449635,
Contig_5420,16,0.695,70.29,15,0.568,9197876,19,0.630,15446422,2,0.385,4387372,10,0.619,8221445,19,0.185,5024945,12,0.649,15078676,
Contig_5795,11,0.770,57.70,11,0.417,6971497,,,,,,,,,,,,,,,,
Contig_16777,14,0.224,19.38,,,,,,,,,,,,,,,,,,,
Contig_3471,17,0.033,2.82,,,,,,,,,,,,,,,,,,,
Contig_19215,20,0.080,7.15,7,0.780,21794450,20,0.594,14106116,,,,7,0.391,4570276,10,0.629,10750644,14,0.520,14761890,
Contig_41232,19,0.314,29.17,13,0.276,5538814,13,0.228,6205907,21,0.455,6774300,12,0.702,8855715,12,0.607,21047430,20,0.433,12308019,
Contig_4136,15,0.534,44.98,,,,,,,,,,,,,,,,,,,
Contig_3401,6,0.786,71.77,,,,,,,,,,,,,,,,16,0.027,704377,
Contig_1130,4,0.196,18.36,11,0.116,1930115,11,0.943,21974715,5,0.061,747642,,,,4,0.481,13783705,8,0.973,22434509,
Contig_19620,22,0.123,9.99,14,0.680,10365112,9,0.119,2735988,,,,,,,,,,19,0.969,22492187,
Contig_63256,16,0.745,75.31,,,,,,,,,,,,,,,,,,,
Contig_29000,14,0.333,28.78,,,,3,0.054,1274530,,,,,,,,,,9,0.123,2741973,
Soc587,12,0.030,3.04,,,,2,0.504,15315172,,,,,,,,,,5,0.852,27801964,
Contig_38299,11,0.894,67.04,,,,,,,,,,,,,,,,,,,
Contig_36711,10,0.390,35.00,17,0.260,3790969,12,0.285,7928318,,,,11,0.697,8336037,5,0.755,28210094,1A,0.782,22715373,
Contig_52504,6,0.018,1.61,,,,9,0.850,19549557,,,,,,,,,,17,0.423,9688032,
Contig_30753,3,0.448,41.35,,,,14,0.551,7750659,,,,,,,3,0.675,13036342,3,0.896,12049437,
Contig_10952,22,0.818,66.52,,,,,,,,,,,,,,,,,,,
Contig_38600,13,0.998,82.23,,,,4,0.922,23557895,,,,,,,,,,,,,
Contig_48742,8,0.753,69.43,4,0.544,17767428,8,0.127,3291408,,,,,,,,,,2,0.635,16637967,
Contig_5729,9,0.096,7.94,,,,,,,,,,,,,,,,11,0.752,19721727,
Contig_52352,4,0.344,32.27,,,,11,0.380,8841596,,,,,,,,,,8,0.426,9824048,
Soc421,16,0.934,94.45,,,,,,,,,,,,,,,,,,,
Contig_6076,8,0.952,87.75,,,,,,,,,,,,,,,,,,,
Soc549,7,0.699,56.46,,,,,,,,,,,,,,,,,,,
Contig_3820,13,0.146,12.05,,,,,,,,,,,,,,,,,,,
Soc865,22,0.572,46.51,,,,,,,,,,,,,,,,,,,
Soc1154,7,0.699,56.46,,,,24,0.843,16704946,,,,,,,,,,,,,
Contig_71691,14,0.625,54.01,,,,3,0.377,8857022,,,,,,,,,,9,0.491,10972035,
Contig_27778,15,0.675,56.83,,,,,,,,,,,,,,,,1B,0.179,3213915,
Contig_42240,14,0.625,54.01,,,,3,0.414,9734016,12,0.082,879488,21,0.135,790285,22,0.558,14734790,9,0.529,11838135,
Dla12,9,0.122,10.15,,,,16-22,0.706,18240241,,,,,,,13,0.166,5440927,11,0.835,21895113,
Contig_46831,2,0.530,44.57,,,,7_2,0.100,1390113,,,,,,,,,,24,0.037,514741,
Contig_11584,8,0.960,88.52,,,,,,,,,,,,,,,,,,,
Soc777,6,0.580,52.98,20,0.569,11224474,15,0.310,9551494,,,,,,,11,0.603,20165174,,,,
Contig_66981,23,0.315,23.29,,,,18,0.199,3824724,,,,,,,,,,,,,
Soc1065,10,0.165,14.77,17,0.654,9557519,12,0.563,15666977,19,0.718,10178150,,,,5,0.302,11273694,1A,0.327,9486935,
Contig_4260,24,0.694,58.19,,,,,,,,,,,,,,,,,,,
Contig_4049,22,0.881,71.65,6,0.559,9552548,,,,,,,,,,,,,11,0.422,11068835,
Contig_26559,10,0.473,42.43,17,0.745,10877661,12,0.898,24994893,,,,,,,5,0.674,25181994,1A,0.617,17919647,
Contig_20428,21,0.783,78.11,,,,6,0.800,22341951,,,,,,,,,,22-25,0.149,3945159,
Contig_63602,24,0.258,21.61,,,,,,,,,,,,,,,,,,,
Contig_30701,16,0.850,86.01,15,0.741,12000743,19,0.807,19784970,,,,,,,19,0.399,10849469,12,0.843,19582586,
Contig_19503,15,0.336,28.26,,,,,,,,,,,,,,,,,,,
Contig_40076,18,0.703,59.70,8,0.627,12151881,17,0.533,14750856,20,0.657,8809068,,,,,,,4,0.463,12777957,
Contig_17543,9,0.465,38.63,6,0.608,10388612,16-22,0.390,10082101,4,0.688,9514131,17,0.538,6526053,13,0.653,21423843,11,0.461,12075516,
Contig_63257,13,0.773,63.71,3,0.530,8909411,4,0.665,16993380,22,0.787,9142543,15,0.504,3690444,18,0.207,5416038,10,0.337,8112682,
Contig_10459,23,0.534,39.55,,,,,,,,,,,,,,,,,,,
